ticket_id,stage,stage_title,deliverable,stage_requirement_scope,stage_gate_dependencies,responsible_role,release_milestone,stage_exit_criteria,package_additional_gate,plan_reference,progress_reference
S00-01,S00,"Repository, contracts and scaffold","Initialize frontend/backend structure, formatting/type checks, dependency lockfiles, MIT project license and file/dependency reuse ledger. Record upstream revision and retained notices before adapting code/assets.","FR-01, FR-36 foundations; NFR-09, NFR-12",Planning baseline,"technical lead/platform, with frontend and backend input",Engineering scaffold,AT-01 installation subset and AT-29 scaffold subset pass. No required runtime service is omitted from Compose. No copied component lacks a recorded provenance/license decision. Establish baseline test reports without claiming integrations are certified.,,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S00-02,S00,"Repository, contracts and scaffold","Add Compose development/test configuration, non-root identities, secret-file support, health/readiness and migration entrypoint. Pin researched integration test images; do not assume the user's versions.","FR-01, FR-36 foundations; NFR-09, NFR-12",Planning baseline,"technical lead/platform, with frontend and backend input",Engineering scaffold,AT-01 installation subset and AT-29 scaffold subset pass. No required runtime service is omitted from Compose. No copied component lacks a recorded provenance/license decision. Establish baseline test reports without claiming integrations are certified.,,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S00-03,S00,"Repository, contracts and scaffold","Define adapter interfaces, error taxonomy, operation envelope, OpenAPI generation and architecture boundaries. Record identity/authority decisions as ADRs linked to D01–D13.","FR-01, FR-36 foundations; NFR-09, NFR-12",Planning baseline,"technical lead/platform, with frontend and backend input",Engineering scaffold,AT-01 installation subset and AT-29 scaffold subset pass. No required runtime service is omitted from Compose. No copied component lacks a recorded provenance/license decision. Establish baseline test reports without claiming integrations are certified.,,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S00-04,S00,"Repository, contracts and scaffold",Create synthetic catalog/media/provider fixture sets and isolated ABS/qBittorrent/PostgreSQL harness. Document how fixtures are generated without distributing private tracker data.,"FR-01, FR-36 foundations; NFR-09, NFR-12",Planning baseline,"technical lead/platform, with frontend and backend input",Engineering scaffold,AT-01 installation subset and AT-29 scaffold subset pass. No required runtime service is omitted from Compose. No copied component lacks a recorded provenance/license decision. Establish baseline test reports without claiming integrations are certified.,,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S00-05,S00,"Repository, contracts and scaffold","Configure CI for contracts, backend/frontend checks, migration smoke tests, image build and secret/license/dependency checks. Establish local backup/restore skeleton.","FR-01, FR-36 foundations; NFR-09, NFR-12",Planning baseline,"technical lead/platform, with frontend and backend input",Engineering scaffold,AT-01 installation subset and AT-29 scaffold subset pass. No required runtime service is omitted from Compose. No copied component lacks a recorded provenance/license decision. Establish baseline test reports without claiming integrations are certified.,,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S01-01,S01,"Durable domain, permissions and jobs","Alembic schema for catalog, provenance, inventory bindings, lists, intents/reasons, jobs, manifests and audit. Define constraints, indexes and transactional service boundaries.","FR-01, FR-02, FR-05, FR-06, FR-22, FR-35 foundations; NFR-02, NFR-05, NFR-08, NFR-09",S00,backend/platform; frontend for session/activity shell,Internal foundation,"AT-01 authorization baseline, AT-02 foundation, AT-13 reservation subset, AT-24 event subset and AT-30 transaction/redelivery subset pass using real PostgreSQL. Failure to achieve atomic enqueue blocks this stage; choose and document a supported transactional outbox adaptation before progressing, rather than silently accepting dual writes.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S01-02,S01,"Durable domain, permissions and jobs",Bootstrap admin; administrator/member/viewer permissions; encrypted per-user credentials; library grants; secure sessions and recovery procedure.,"FR-01, FR-02, FR-05, FR-06, FR-22, FR-35 foundations; NFR-02, NFR-05, NFR-08, NFR-09",S00,backend/platform; frontend for session/activity shell,Internal foundation,"AT-01 authorization baseline, AT-02 foundation, AT-13 reservation subset, AT-24 event subset and AT-30 transaction/redelivery subset pass using real PostgreSQL. Failure to achieve atomic enqueue blocks this stage; choose and document a supported transactional outbox adaptation before progressing, rather than silently accepting dual writes.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S01-03,S01,"Durable domain, permissions and jobs",Wire Procrastinate enqueue through the same underlying psycopg transaction as domain changes. Prove rollback/no-enqueue and commit/one-job behavior through SQLAlchemy integration; document the supported adapter path.,"FR-01, FR-02, FR-05, FR-06, FR-22, FR-35 foundations; NFR-02, NFR-05, NFR-08, NFR-09",S00,backend/platform; frontend for session/activity shell,Internal foundation,"AT-01 authorization baseline, AT-02 foundation, AT-13 reservation subset, AT-24 event subset and AT-30 transaction/redelivery subset pass using real PostgreSQL. Failure to achieve atomic enqueue blocks this stage; choose and document a supported transactional outbox adaptation before progressing, rather than silently accepting dual writes.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S01-04,S01,"Durable domain, permissions and jobs","Implement idempotent command handling, leases, serialized reservation checks, worker restart/stalled-job handling, and a durable external-operation ledger/outbox.","FR-01, FR-02, FR-05, FR-06, FR-22, FR-35 foundations; NFR-02, NFR-05, NFR-08, NFR-09",S00,backend/platform; frontend for session/activity shell,Internal foundation,"AT-01 authorization baseline, AT-02 foundation, AT-13 reservation subset, AT-24 event subset and AT-30 transaction/redelivery subset pass using real PostgreSQL. Failure to achieve atomic enqueue blocks this stage; choose and document a supported transactional outbox adaptation before progressing, rather than silently accepting dual writes.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S01-05,S01,"Durable domain, permissions and jobs","Implement identity assertions, protected manual matches, reversible association corrections and merge redirects. Add audit and activity APIs with redacted structured events.","FR-01, FR-02, FR-05, FR-06, FR-22, FR-35 foundations; NFR-02, NFR-05, NFR-08, NFR-09",S00,backend/platform; frontend for session/activity shell,Internal foundation,"AT-01 authorization baseline, AT-02 foundation, AT-13 reservation subset, AT-24 event subset and AT-30 transaction/redelivery subset pass using real PostgreSQL. Failure to achieve atomic enqueue blocks this stage; choose and document a supported transactional outbox adaptation before progressing, rather than silently accepting dual writes.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
