requirement_id,release,requirement,delivery_or_acceptance_scope,acceptance_ids,acceptance_stage_gates,specification,acceptance_plan,evidence_status
FR-01,v1,Bootstrap one administrator and start a reproducible self-hosted installation; bootstrap cannot remain publicly reusable after setup,S00–S01,AT-01,S00–S05,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-02,v1,"Administrator/member/viewer roles, private account connections, list ownership/sharing and library grants are enforced in the API, not just UI",S01; sharing completed S08,AT-01; AT-27,"S00–S05; S01, S03, S08–S09",PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-03,v1,"Configure, edit, test and disable integrations; show version/capability/auth/route diagnostics independently, without destructive test actions",S03–S06,AT-01,S00–S05,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-04,v1,"Configure qBittorrent-to-worker path mappings, ebook/audio roots, UID/GID access and hardlink/copy mode; validate actual access/link behavior before automatic imports",S04–S05,AT-01,S00–S05,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-05,v1,App-owned work/version/representation IDs with namespaced provider references; changing providers or duplicate upstream records does not duplicate owned works,S01–S02,AT-02,S01–S03,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-06,v1,"Review matches, create provisional works, merge or correct mappings with history; undo a mistaken association without losing asset/job relationships",S01–S03,AT-02,S01–S03,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-07,v1,"Hardcover-first automatic metadata when connected, targeted Open Library work/ebook fallback and per-group/advanced field preferences; conflicting versions are not silently merged and recording details are not invented from work-level data",S02,AT-03,S02–S04,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-08,v1,Show provenance; allow cover selection and protected app metadata edits; refresh does not overwrite manual locks or ABS edits,S02–S04,AT-03,S02–S04,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-09,v1,"Search catalog/local records by title, author, series and supported identifiers; unresolved source-native books remain usable",S02; source entry S05,AT-04,S02–S06,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-10,v1,"One book page aggregates ebook editions and audio recordings, separate media actions, ownership and download releases; open available assets in ABS",S02–S03; source UI S05–S06,AT-04,S02–S06,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
